site_id,date,airTemperature,dewTemperature,windSpeed,seaLvlPressure,precipDepth1HR
Hog,2016-01-01,-5.583333333333333,-9.741666666666667,4.758333333333334,1019.5458333333332,-0.08333333333333333
Hog,2016-01-02,-5.4624999999999995,-9.808333333333334,4.2625,1017.7958333333332,0.0
Hog,2016-01-03,-3.2916666666666665,-7.5125,4.8,1025.9652173913043,0.0
Hog,2016-01-04,-7.783333333333334,-10.133333333333335,3.1999999999999997,1032.2749999999999,0.0
Hog,2016-01-05,-3.8208333333333333,-7.933333333333334,5.5125,1023.5304347826087,0.0
Hog,2016-01-06,-2.0500000000000003,-4.716666666666667,3.266666666666667,1018.6041666666666,0.4583333333333333
Hog,2016-01-07,0.06666666666666667,-1.5416666666666667,2.6375,1015.1750000000001,-0.16666666666666666
Hog,2016-01-08,-0.3833333333333333,-2.091666666666667,4.2250000000000005,1010.8874999999999,0.7083333333333334
Hog,2016-01-09,-14.358333333333334,-18.3125,6.970833333333334,1020.1291666666666,-0.25
Hog,2016-01-10,-20.970833333333335,-25.733333333333334,3.9416666666666664,1022.9125,0.0
Hog,2016-01-11,-18.383333333333333,-21.245833333333334,2.3833333333333333,1014.8208333333333,0.0
Hog,2016-01-12,-18.683333333333334,-22.983333333333334,4.983333333333333,1021.3125,-0.2608695652173913
Hog,2016-01-13,-12.641666666666666,-16.116666666666667,1.9124999999999999,1012.7166666666667,0.041666666666666664
Hog,2016-01-14,-5.733333333333333,-8.329166666666667,4.183333333333333,1001.3521739130434,0.0
Hog,2016-01-15,-6.6875,-10.420833333333333,6.2,1005.6916666666666,-0.20833333333333334
Hog,2016-01-16,-17.616666666666667,-23.079166666666666,6.616666666666667,1018.2333333333332,-0.125
Hog,2016-01-17,-22.570833333333336,-27.525000000000002,4.858333333333333,1026.0083333333334,0.0
Hog,2016-01-18,-20.8875,-25.145833333333332,3.3874999999999997,1030.1791666666666,0.0
Hog,2016-01-19,-17.1625,-21.254166666666666,1.8916666666666666,1031.9875,-0.125
Hog,2016-01-20,-8.979166666666666,-12.008333333333333,2.8791666666666664,1023.4875000000001,0.0
Hog,2016-01-21,-5.804166666666666,-8.604166666666666,1.925,1028.3083333333334,-0.20833333333333334
Hog,2016-01-22,-6.2749999999999995,-10.979166666666666,2.6958333333333333,1030.7250000000001,-0.2916666666666667
Hog,2016-01-23,-6.516666666666667,-10.091666666666667,5.254166666666666,1019.9041666666667,0.0
Hog,2016-01-24,-2.475,-4.029166666666667,2.4916666666666667,1012.0272727272727,0.0
Hog,2016-01-25,-2.0833333333333335,-3.7583333333333333,2.8166666666666664,1009.6600000000001,0.041666666666666664
Hog,2016-01-26,-3.908333333333333,-8.325000000000001,5.604166666666667,1018.9869565217392,-0.5
Hog,2016-01-27,-2.0625,-6.204166666666667,4.808333333333334,1012.5875,-0.08333333333333333
Hog,2016-01-28,-0.4124999999999999,-5.270833333333333,5.666666666666667,1009.1875,0.0
Hog,2016-01-29,-3.1,-6.845833333333334,4.595833333333333,1007.508695652174,0.08333333333333333
Hog,2016-01-30,2.066666666666667,-1.6041666666666667,2.1458333333333335,1000.8125,0.08333333333333333
Hog,2016-01-31,1.8083333333333333,-1.7958333333333334,2.9250000000000003,1004.9333333333334,0.0
Hog,2016-02-01,-1.8833333333333335,-3.9375,1.7666666666666666,1016.7826086956521,0.0
Hog,2016-02-02,-2.2041666666666666,-4.841666666666666,6.4375,1014.5818181818181,1.375
Hog,2016-02-03,-7.154166666666666,-11.979166666666666,6.479166666666667,1013.6217391304348,-0.041666666666666664
Hog,2016-02-04,-8.3375,-11.387500000000001,2.5458333333333334,1021.6826086956522,0.20833333333333334
Hog,2016-02-05,-7.6875,-11.104166666666666,3.0666666666666664,1026.7416666666666,-0.20833333333333334
Hog,2016-02-06,-0.6999999999999998,-4.391666666666667,4.416666666666667,1017.4916666666667,-0.125
Hog,2016-02-07,0.5166666666666666,-4.3999999999999995,7.004166666666666,1005.295652173913,-0.041666666666666664
Hog,2016-02-08,-9.908333333333333,-14.716666666666667,8.583333333333334,1014.0869565217391,-0.875
Hog,2016-02-09,-11.691666666666668,-18.175,6.929166666666667,1020.8000000000001,-0.16666666666666666
