timestamp,building_id,value,anomaly
2016-01-08,Hog_office_Lizzie,1694.7459999999999,1
2016-01-09,Hog_office_Lizzie,1399.722,1
2016-01-10,Hog_office_Lizzie,1562.278,1
2016-01-11,Hog_office_Lizzie,1966.104,1
2016-01-12,Hog_office_Lizzie,2085.409,1
2016-01-13,Hog_office_Lizzie,1990.045,1
2016-01-14,Hog_office_Lizzie,1805.376,1
2016-01-15,Hog_office_Lizzie,1765.881,1
2016-01-16,Hog_office_Lizzie,1560.194,1
2016-01-17,Hog_office_Lizzie,1563.901,1
2016-01-18,Hog_office_Lizzie,1378.681,1
2016-01-19,Hog_office_Lizzie,2346.366,1
2016-01-20,Hog_office_Lizzie,2311.879,1
2016-01-21,Hog_office_Lizzie,2268.369,1
2016-01-22,Hog_office_Lizzie,2171.552,1
2016-01-23,Hog_office_Lizzie,1825.2930000000001,1
2016-01-24,Hog_office_Lizzie,1865.329,1
2016-01-25,Hog_office_Lizzie,2182.095,1
2016-01-26,Hog_office_Lizzie,2238.502,0
2016-01-27,Hog_office_Lizzie,2236.565,0
2016-01-28,Hog_office_Lizzie,2240.926,0
2016-01-29,Hog_office_Lizzie,2170.981,0
2016-01-30,Hog_office_Lizzie,1949.049,0
2016-01-31,Hog_office_Lizzie,1843.259,0
2016-02-01,Hog_office_Lizzie,2247.213,0
2016-02-02,Hog_office_Lizzie,2146.301,0
2016-02-03,Hog_office_Lizzie,2251.682,0
2016-02-04,Hog_office_Lizzie,2226.828,0
2016-02-05,Hog_office_Lizzie,2152.753,0
2016-02-06,Hog_office_Lizzie,1961.347,0
2016-02-07,Hog_office_Lizzie,1851.463,0
2016-02-08,Hog_office_Lizzie,2295.116,1
2016-02-09,Hog_office_Lizzie,2256.93,0
2016-02-10,Hog_office_Lizzie,2279.005,0
2016-02-11,Hog_office_Lizzie,2276.768,0
2016-02-12,Hog_office_Lizzie,2279.578,0
2016-02-13,Hog_office_Lizzie,1921.011,1
2016-02-14,Hog_office_Lizzie,1931.06,0
2016-02-15,Hog_office_Lizzie,2285.677,0
2016-02-16,Hog_office_Lizzie,2305.391,0
2016-02-17,Hog_office_Lizzie,2230.543,0
2016-02-18,Hog_office_Lizzie,2236.752,0
2016-02-19,Hog_office_Lizzie,2105.892,0
2016-02-20,Hog_office_Lizzie,1719.319,0
2016-02-21,Hog_office_Lizzie,1800.066,0
2016-02-22,Hog_office_Lizzie,2293.15,0
2016-02-23,Hog_office_Lizzie,2206.936,0
2016-02-24,Hog_office_Lizzie,2201.8379999999997,0
2016-02-25,Hog_office_Lizzie,2166.038,0
2016-02-26,Hog_office_Lizzie,2111.459,0
2016-02-27,Hog_office_Lizzie,1773.991,0
2016-02-28,Hog_office_Lizzie,1812.727,0
2016-02-29,Hog_office_Lizzie,2261.571,0
2016-03-01,Hog_office_Lizzie,2229.783,0
2016-03-02,Hog_office_Lizzie,2236.494,0
2016-03-03,Hog_office_Lizzie,2248.38,0
2016-03-04,Hog_office_Lizzie,2129.706,0
2016-03-05,Hog_office_Lizzie,1753.814,0
2016-03-06,Hog_office_Lizzie,1778.535,0
2016-03-07,Hog_office_Lizzie,2153.486,0
2016-03-08,Hog_office_Lizzie,2178.446,0
2016-03-09,Hog_office_Lizzie,2171.74,0
2016-03-10,Hog_office_Lizzie,2153.13,0
2016-03-11,Hog_office_Lizzie,1978.508,0
2016-03-12,Hog_office_Lizzie,1671.0140000000001,0
2016-03-13,Hog_office_Lizzie,1705.657,0
